sigla_uf;taxa_aprovacao;nota_saeb_matematica;nota_saeb_lingua_portuguesa;nota_saeb_media_padronizada;ideb;projecao
AC;92.3;259.48;258.16;5.2940001;4.9;5.3
AL;91.6;256.38;251.85;5.137167;4.7;4.2
AM;89.8;252.32;254.27;5.1098328;4.6;4.5
AP;84.6;238.86;243.71;4.7096672;4.0;5.3
BA;81.4;251.69;250.55;5.037333;4.1;4.5
CE;94.8;269.73;269.5;5.6539998;5.4;4.9
DF;91.3;271.91;266.82;5.6455002;5.1;5.6
ES;88.9;271.3;264.73;5.600667;5.0;5.5
GO;95.1;268.72;267.6;5.6053329;5.3;5.3
MA;88.5;242.32;244.25;4.7763329;4.2;4.8
MG;89.1;269.11;263.73;5.547667;4.9;5.5
MS;88.9;265.82;260.57;5.4400001;4.8;5.1
MT;92.9;255.22;252.52;5.1291671;4.8;4.9
PA;83.8;246.52;248.03;4.9095001;4.1;5.1
PB;83.4;256.14;254.02;5.169333;4.3;4.5
PE;91.8;258.79;256.23;5.2505002;4.8;4.5
PI;89.8;267.63;262.2;5.4971671;5.0;4.8
PR;92.5;274.98;268.2;5.7198329;5.3;5.3
RJ;88.2;267.89;263.54;5.5238328;4.9;5.4
RN;80.2;252.94;251.08;5.0673332;4.1;4.6
RO;92.2;260.45;257.17;5.2938328;4.9;5.1
RR;89.2;245.38;243.02;4.8066669;4.3;5.2
RS;84.7;270.69;268.64;5.6554999;4.8;5.6
SC;89.1;275.57;269.82;5.7564998;5.1;6.0
SE;78.5;256.86;253.49;5.172667;4.1;4.8
SP;96.2;271.27;268.89;5.6696668;5.5;5.9
TO;90.3;257.91;252.25;5.1694999;4.7;5.1
