sigla_uf;nota_saeb_fundamentalI;nota_saeb_fundamentalII;nota_saeb_medio;enem
AC;259.48;232.55;270.17;480.8634927066454
AL;256.38;218.72;263.82;496.3694015444006
AM;252.32;217.46;251.69;479.6236951833219
AP;238.86;202.83;254.3;473.0493720846777
BA;251.69;215.16;261.35;499.4143211159484
CE;269.73;233.91;272.82;515.9717157524994
DF;271.91;241.85;296.45;529.0660286284968
ES;271.3;233.66;298.48;538.1313847628146
GO;268.72;231.33;291.79;521.5961809149261
MA;242.32;203.19;253.47;484.02633572018686
MG;269.11;238.11;287.54;545.3573868980818
MS;265.82;227.27;285.41;511.3813120309863
MT;255.22;221.92;271.32;502.0340096424274
PA;246.52;207.11;254.49;485.1987305219552
PB;256.14;216.5;274.75;507.6942278326372
PE;258.79;217.74;281.14;517.6511452594962
PI;267.63;224.75;273.08;497.7452946462934
PR;274.98;245.47;293.29;537.7119600283262
RJ;267.89;228.83;280.55;537.3683272006805
RN;252.94;209.52;262.54;516.4119080004954
RO;260.45;221.58;278.8;493.3597958057397
RR;245.38;222.69;265.66;494.316933333334
RS;270.69;232.17;291.41;537.8154983202692
SC;275.57;240.36;289.55;545.6709157286276
SE;256.86;211.41;271.85;507.6257032989272
SP;271.27;245.5;283.92;546.9955449705802
TO;257.91;220.74;269.19;491.022369838421
